nome_misura;regione;numero progetti
1.4.1 Esperienza del cittadino nei servizi pubblici;Abruzzo;412
1.4.1 Esperienza del cittadino nei servizi pubblici;Basilicata;198
1.4.1 Esperienza del cittadino nei servizi pubblici;Calabria;664
1.4.1 Esperienza del cittadino nei servizi pubblici;Campania;1329
1.4.1 Esperienza del cittadino nei servizi pubblici;Emilia-Romagna;757
1.4.1 Esperienza del cittadino nei servizi pubblici;Friuli-Venezia Giulia;330
1.4.1 Esperienza del cittadino nei servizi pubblici;Lazio;920
1.4.1 Esperienza del cittadino nei servizi pubblici;Liguria;327
1.4.1 Esperienza del cittadino nei servizi pubblici;Lombardia;2177
1.4.1 Esperienza del cittadino nei servizi pubblici;Marche;397
1.4.1 Esperienza del cittadino nei servizi pubblici;Molise;153
1.4.1 Esperienza del cittadino nei servizi pubblici;Piemonte;1301
1.4.1 Esperienza del cittadino nei servizi pubblici;Puglia;731
1.4.1 Esperienza del cittadino nei servizi pubblici;Sardegna;495
1.4.1 Esperienza del cittadino nei servizi pubblici;Sicilia;964
1.4.1 Esperienza del cittadino nei servizi pubblici;Toscana;663
1.4.1 Esperienza del cittadino nei servizi pubblici;Trentino-Alto Adige/Südtirol;405
1.4.1 Esperienza del cittadino nei servizi pubblici;Umbria;196
1.4.1 Esperienza del cittadino nei servizi pubblici;Valle d'Aosta/Vallée d'Aoste;81
1.4.1 Esperienza del cittadino nei servizi pubblici;Veneto;1073
